page,"Identificativo
U.I.",tipologia U.I.,descrizione U.I.,Id. Cespite,descrizione Cespite,Comune,Via,Civico,Quartiere,sestiere,sezione,Foglio,Mapp.,Sub,Uso_in_atto,Titolarità
2,80,Fabbricato,M.137060-80-ABITAZIONE ERP,24,"Fabbricato residenziale -
Castello, S. Giustina",V e n e z i a,C A L L E D E L T E D E U M,2 8 3 2,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",C A S T ELLO,01 - Venezia,16,2433,14,RESIDENZA;,Proprietà
2,81,Fabbricato,M.137070-81-ABITAZIONE ERP,,"Fabbricato residenziale -
Castello, S. Giustina",V e n e z i a,C A L L E D E L T E D E U M,2 8 3 2,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",C A S T ELLO,01 - Venezia,16,2433,15,RESIDENZA;,Proprietà
2,82,Fabbricato,M.137080-82-ABITAZIONE ERP,,"Fabbricato residenziale -
Castello, S. Giustina",V e n e z i a,C A L L E D E L T E D E U M,2 8 3 2,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",C A S T ELLO,01 - Venezia,16,2433,16,RESIDENZA;,Proprietà
2,83,Fabbricato,M.137090-83-ABITAZIONE ERP,,"Fabbricato residenziale -
Castello, S. Giustina",V e n e z i a,C A L L E D E L T E D E U M,2 8 3 2,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",C A S T ELLO,01 - Venezia,16,2433,17,RESIDENZA;,Proprietà
2,84,Fabbricato,M.137100-84-ABITAZIONE ERP,,"Fabbricato residenziale -
Castello, S. Giustina",V e n e z i a,C A L L E D E L T E D E U M,2 8 3 2,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",C A S T ELLO,01 - Venezia,16,2433,18,RESIDENZA;,Proprietà
2,85,Fabbricato,M.137140-85-ABITAZIONE ERP,,"Fabbricato residenziale -
Castello, S. Giustina",V e n e z i a,C A L L E D E L T E D E U M,2 8 3 2,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",C A S T ELLO,01 - Venezia,16,2433,19,RESIDENZA;,Proprietà
2,86,Fabbricato,M.137110-86-ABITAZIONE ERP,,"Fabbricato residenziale -
Castello, S. Giustina",V e n e z i a,C A L L E D E L T E D E U M,2 8 3 2,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",C A S T ELLO,01 - Venezia,16,2433,20,RESIDENZA;,Proprietà
2,87,Fabbricato,M.137120-87-ABITAZIONE ERP,,"Fabbricato residenziale -
Castello, S. Giustina",V e n e z i a,C A L L E D E L T E D E U M,2 8 3 2,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",C A S T ELLO,01 - Venezia,16,2433,21,RESIDENZA;,Proprietà
2,88,Fabbricato,M.137130-88-ABITAZIONE ERP,,"Fabbricato residenziale -
Castello, S. Giustina",V e n e z i a,C A L L E D E L T E D E U M,2 8 3 2,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",C A S T ELLO,01 - Venezia,16,2433,22,RESIDENZA;,Proprietà
2,93,Fabbricato,M.1150200-93-ABITAZIONE ERP,,"Edificio residenziale - Salizzada
dei Greci",V e n e z i a,S A L I Z A D A D E I G R E C I,3 3 0 7,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",CASTELLO,01 - Venezia,16,1695,3,RESIDENZA;,Proprietà
2,94,Fabbricato,94-ABITAZIONE ERP,,"Edificio residenziale - Calle
dietro la chiesa",,,,,C ASTELLO,01 - Venezia,16,2261,27,RESIDENZA;,Proprietà
2,95,Fabbricato,M.11720-95-ABITAZIONE ERP,,"Fabbricato residenziale - Calle
dell'Olio 3110",V e n e z i a,C A L L E D E L ' O G I O,3 1 1 0,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",CASTELLO,01 - Venezia,16,2229,7,RESIDENZA;,Proprietà
2,96,Fabbricato,M.11620-96-ABITAZIONE ERP,,"Edificio residenziale - Campiello
del Piovan 3752",V e n e z i a,C A M P I E L L O D E L P I O V A N,3 7 5 2,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",C ASTELLO,01 - Venezia,16,1898,2,RESIDENZA;,Proprietà
2,97,Fabbricato,M.11630-97-ABITAZIONE ERP,,"Edificio residenziale - Campiello
del Piovan 3752",V e n e z i a,C A M P I E L L O D E L P I O V A N,3 7 5 3,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",C ASTELLO,01 - Venezia,16,1898,10,RESIDENZA;,Proprietà
2,98,Fabbricato,M.11640-98-ABITAZIONE ERP,,"Edificio residenziale - Campiello
del Piovan 3752",V e n e z i a,C A M P I E L L O D E L P I O V A N,3 7 5 3,"SAN MARCO-CASTELLO-SANT'ELENA-
C A N N A R E G I O",C ASTELLO,01 - Venezia,16,1898,11,RESIDENZA;,Proprietà
