page,Identificativo U.I.,tipologia U.I.,descrizione U.I.,Id. Cespite,descrizione Cespite,Comune,Via,Civico,Quartiere,sestiere,sezione,Foglio,Mapp.,Sub,Uso in atto,Titolarità
1,1,Fabbricato,M.1590-1-ABITAZIONE ERP,1,Fabbricato residenziale bifamiliare Campo Ruga,Venezia,CAMPO DE RUGA,143,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,3440,2,RESIDENZA;,Proprietà
1,2,Fabbricato,M.1600-2-ABITAZIONE ERP,1,Fabbricato residenziale bifamiliare Campo Ruga,Venezia,CAMPO DE RUGA,143,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,3440,3,RESIDENZA;,Proprietà
1,4,Fabbricato,M.1770-4-ABITAZIONE ERP,3,Edificio residenziale Castello Calle Salomon,Venezia,RAMO SALOMON,289,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,3480,7,RESIDENZA;,Proprietà
1,5,Fabbricato,M.1780-5-ABITAZIONE ERP,3,Edificio residenziale Castello Calle Salomon,Venezia,RAMO SALOMON,290,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,3480,8,RESIDENZA:,Proprietà
1,6,Fabbricato,M.1800-6-ABITAZIONE ERP,3,Edificio residenziale Castello Calle Salomon,Venezia,RAMO SALOMON,292,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,3480,10,RESIDENZA;,Proprietà
1,7,Fabbricato,M.1810-7-ABITAZIONE ERP,3,Edificio residenziale Castello Calle Salomon,Venezia,CALLE SALAMON,293,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,3480,11,RESIDENZA;,Proprietà
1,8,Fabbricato,M.1820-8-ABITAZIONE ERP,3,Edificio residenziale Castello Calle Salomon,Venezia,CALLE SALAMON,294,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,3480,12,RESIDENZA;,Proprietà
1,9,Fabbricato,M.1830-9-ABITAZIONE ERP,3,Edificio residenziale Castello Calle Salomon,Venezia,CALLE DE LE OLE,295,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,3480,13,RESIDENZA;,Proprietà
1,10,Fabbricato,M.1840-10-ABITAZIONE ERP,3,Edificio residenziale Castello Calle Salomon,Venezia,CALLE DE LE OLE,296,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,3480,14,RESIDENZA;,Proprietà
1,11,Fabbricato,M.1850-11-ABITAZIONE ERP,3,Edificio residenziale Castello Calle Salomon,Venezia,CALLE DE LE OLE,297,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,3480,15,RESIDENZA;,Proprietà
1,16,Fabbricato,M.1790-16-ABITAZIONE ERP,3,Edificio residenziale Castello Calle Salomon,Venezia,RAMO SALOMON,291,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,3480,9,RESIDENZA;,Proprietà
1,17,Fabbricato,M.11080-17-ABITAZIONE ERP,3,Edificio residenziale Castello Calle Salomon,Venezia,CALLE DE LE OLE,299,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,3480,17,RESIDENZA;,Proprietà
1,18,Fabbricato,M.152190-18-ABITAZIONE ERP,3,Edificio residenziale Castello Calle Salomon,Venezia,CALLE DE LE OLE,302,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,3480,23,RESIDENZA:,Proprietà
1,20,Fabbricato,M.144250-20-ABITAZIONE ERP,7,"Edificio residenziale, Castello 394",Venezia,CAMPAZZO DE LE ERBE,394,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,3302,6,RESIDENZA;,Proprietà
1,21,Fabbricato,M.145590-21-ABITAZIONE ERP,7,"Edificio residenziale, Castello 394",Venezia,CAMPAZZO DE LE ERBE,394,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,3302,19,RESIDENZA;,Proprietà
1,35,Fabbricato,M.135560-35-ABITAZIONE ERP,10,Edificio residenziale Secco Marina,Venezia,CORTE SABIONCELA,659,SAN MARCO-CASTELLO-SANTELENA- CANNAREGIO,CASTELLO,01 Venezia,16,3753,15,RESIDENZA;,Proprietà
1,36,Fabbricato,M.11070-36-ABITAZIONE ERP,12,Fabbricato residenziale Paludo S. Antonio,Venezia,PALUDO SANT'ANTONIO,877,SAN MARCO-CASTELLO-SANT'ELENA- CANNAREGIO,CASTELLO,01 Venezia,16,3954,2,RESIDENZA;,Proprietà
1,37,Fabbricato,M.11090-37-ABITAZIONE ERP,13,Fabbricato residenziale Calle dei Nicoli,Venezia,CALLE DEI NICOLI,1029B,SAN MARCO-CASTELLO-SANTELENA CANNAREGIO,CASTELLO,01 Venezia,16,4883,1,RESIDENZA;,Proprietà
